lastName,firstName,state,party,openId,x,y,id,donationSum
Rubio,Marco,FL,Republican,N00030612,17,8,0,56501248
Toomey,Patrick,PA,Republican,N00001489,15,4,1,52628752
Cruz,Ted,TX,Republican,N00033085,7,8,2,27998614
Burr,Richard,NC,Republican,N00002221,14,6,3,23317843
Portman,Robert,OH,Republican,N00003682,13,4,4,17232007
Blunt,Roy,MO,Republican,N00005195,9,5,5,13919184
Johnson,Ron,WI,Republican,N00032546,11,2,6,10590115
Sanders,Bernard,VT,Independent,N00000528,20,2,7,5312452
McCain,John,AZ,Republican,N00006424,3,6,8,3393622
Isakson,John,GA,Republican,N00002593,18,7,9,3381804
Bennet,Michael,CO,Democrat,N00030608,6,5,10,3337962
McConnell,Mitch,KY,Republican,N00003389,12,5,11,3033727
Paul,Rand,KY,Republican,N00030836,11,5,12,3032975
Ernst,Joni,IA,Republican,N00035483,9,4,13,2126179
Grassley,Charles,IA,Republican,N00001758,10,4,14,1744366
Schumer,Charles,NY,Democrat,N00001093,17,3,15,1659300
Scott,Tim,SC,Republican,N00031782,15,6,16,1454992
Peters,Gary,MI,Democrat,N00029277,13,3,17,1371926
Murray,Patty,WA,Democrat,N00007876,1,3,18,1248017
Boozman,John,AR,Republican,N00013873,10,6,19,1189542
Crapo,Michael,ID,Republican,N00006267,3,3,20,1184992
Wyden,Ron,OR,Democrat,N00007724,1,4,21,1171790
Shelby,Richard,AL,Republican,N00009920,16,7,22,1145399
Roberts,Pat,KS,Republican,N00005285,8,6,23,1128028
Thune,John,SD,Republican,N00004572,8,4,24,1100283
Cotton,Tom,AR,Republican,N00033363,9,6,25,1057152
Murkowski,Lisa,AK,Republican,N00026050,2,1,26,1028325
Moran,Jerry,KS,Republican,N00005282,7,6,27,992215
Cochran,Thad,MS,Republican,N00003328,11,7,28,965944
Tillis,Thom,NC,Republican,N00035492,13,6,29,838724
Blumenthal,Richard,CT,Democrat,N00031685,20,4,30,766360
Gardner,Cory,CO,Republican,N00030780,5,5,31,765491
Schatz,Brian,HI,Democrat,N00028138,1,8,32,755800
Lankford,James,OK,Republican,N00031129,7,7,33,752750
Hoeven,John,ND,Republican,N00031688,8,3,34,724430
Cassidy,Bill,LA,Republican,N00030245,10,7,35,714956
Lee,Mike,UT,Republican,N00031696,3,5,36,646367
Leahy,Patrick,VT,Democrat,N00009918,19,2,37,599393
Sullivan,Dan,AK,Republican,N00035774,1,1,38,468725
Tester,Jon,MT,Democrat,N00027605,6,3,39,447611
Stabenow,Debbie,MI,Democrat,N00004118,14,3,40,441604
Hatch,Orrin,UT,Republican,N00009869,4,5,41,428623
Casey,Robert,PA,Democrat,N00027503,16,4,42,415200
Heitkamp,Heidi,ND,Democrat,N00033782,7,3,43,402200
Fischer,Deb,NE,Republican,N00033443,8,5,44,382400
Nelson,Bill,FL,Democrat,N00009926,18,8,45,377717
Donnelly,Joe,IN,Democrat,N00026586,12,4,46,370995
Heller,Dean,NV,Republican,N00027522,4,4,47,364300
Brown,Sherrod,OH,Democrat,N00003535,14,4,48,354109
Heinrich,Martin,NM,Democrat,N00029835,5,6,49,308250
Perdue,David,GA,Republican,N00035516,17,7,50,285782
