candidateId,candidateName,pac,party,type,state,donations
N00029016,Al Franken,American Council of Life Insurers,D,sen,MN,2000
N00029016,Al Franken,American Fedn of St/Cnty/Munic Employees,D,sen,MN,1000
N00029016,Al Franken,American Intellectual Property Law Assn,D,sen,MN,1000
N00029016,Al Franken,American Psychiatric Assn,D,sen,MN,5000
N00029016,Al Franken,Associated Milk Producers,D,sen,MN,1000
N00029016,Al Franken,Best Buy,D,sen,MN,2000
N00029016,Al Franken,Boilermakers Union,D,sen,MN,6000
N00029016,Al Franken,Boston Scientific Corp,D,sen,MN,1000
N00029016,Al Franken,Competitive Carriers Assn,D,sen,MN,500
N00029016,Al Franken,Conservative Campaign Cmte,D,sen,MN,2500
N00029016,Al Franken,Consumer Credit Insurance Assn,D,sen,MN,500
N00029016,Al Franken,Corning Inc,D,sen,MN,1000
N00029016,Al Franken,Covanta Energy Corp,D,sen,MN,1000
N00029016,Al Franken,Credit Union National Assn,D,sen,MN,2500
N00029016,Al Franken,Cummins Inc,D,sen,MN,1500
N00029016,Al Franken,Delta Dental Plans Assn,D,sen,MN,2000
N00029016,Al Franken,Edwards Lifesciences,D,sen,MN,1000
N00029016,Al Franken,Elekta Holdings Us Inc Political Action Committee,D,sen,MN,1000
N00029016,Al Franken,Facebook Inc,D,sen,MN,2500
N00029016,Al Franken,General Motors,D,sen,MN,1000
N00029016,Al Franken,Glass Molders Pottery Plastics Workers,D,sen,MN,5000
N00029016,Al Franken,Google Inc,D,sen,MN,1000
N00029016,Al Franken,Ingram Barge Co,D,sen,MN,1000
N00029016,Al Franken,Integra Telecom,D,sen,MN,2000
N00029016,Al Franken,Medtronic Inc,D,sen,MN,3000
N00029016,Al Franken,National Assn for Home Care,D,sen,MN,1000
N00029016,Al Franken,National Limousine Assn,D,sen,MN,1000
N00029016,Al Franken,Operating Engineers Union,D,sen,MN,10000
N00029016,Al Franken,Pharmavite LLC,D,sen,MN,1000
N00029016,Al Franken,Prime Therapeutics,D,sen,MN,1000
N00029016,Al Franken,Republican Party of Minnesota,D,sen,MN,5222
N00029016,Al Franken,Service Employees International Union,D,sen,MN,5000
N00029016,Al Franken,Smiths Group Services Corp,D,sen,MN,1000
N00029016,Al Franken,Sprint Corp,D,sen,MN,1000
N00029016,Al Franken,St Jude Medical,D,sen,MN,3000
N00029016,Al Franken,Thrivent Financial for Lutherans,D,sen,MN,5000
N00029016,Al Franken,US Cellular,D,sen,MN,1000
N00029016,Al Franken,United Parcel Service,D,sen,MN,500
N00029016,Al Franken,Vista Outdoor,D,sen,MN,2500
N00029016,Al Franken,Windstream Communications,D,sen,MN,3000
N00029016,Al Franken,Writers Guild of America West,D,sen,MN,2500
N00029016,Al Franken,XO Communications,D,sen,MN,2500
N00029016,Al Franken,Xcel Energy,D,sen,MN,8000
N00027500,Amy Klobuchar,3M Co,D,sen,MN,1000
N00027500,Amy Klobuchar,AT&T Inc,D,sen,MN,1000
