id,total
N00000270,98000
N00000362,98500
N00000491,94000
N00000528,5312452
N00000699,188800
N00001093,1659300
N00001489,52628752
N00001758,1744366
N00001955,197750
N00002097,224550
N00002221,23317843
N00002593,3381804
N00003280,141325
N00003328,965944
N00003389,3033727
N00003535,354109
N00003682,17232007
N00004118,441604
N00004367,179750
N00004572,1100283
N00004981,155000
N00005195,13919184
N00005282,992215
N00005285,1128028
N00005582,97500
N00006236,181750
N00006249,42500
N00006267,1184992
N00006424,3393622
N00006561,74500
N00007364,108910
N00007724,1171790
N00007836,12000
N00007876,1248017
N00009573,217450
N00009771,101965
N00009869,428623
N00009888,97250
N00009918,599393
N00009920,1145399
N00009926,377717
N00009975,87201
N00012508,257720
N00013873,1189542
N00024790,130131
N00024852,250153
N00026050,1028325
N00026586,370995
N00027441,95500
N00027500,210500
N00027503,415200
N00027522,364300
N00027533,102850
N00027566,97500
N00027605,447611
N00027658,105700
N00027694,122500
N00028138,755800
N00028139,148400
N00029016,102222
N00029277,1371926
N00029303,59713
N00029441,28332
N00029835,308250
N00030245,714956
N00030608,3337962
N00030612,56501248
N00030780,765491
N00030836,3032975
N00031129,752750
N00031685,766360
N00031688,724430
N00031696,646367
N00031782,1454992
N00031820,79500
N00032546,10590115
N00032838,253000
N00033054,106135
N00033085,27998614
N00033177,226229
N00033363,1057152
N00033443,382400
N00033492,26000
N00033782,402200
N00034580,67000
N00035187,101236
N00035267,262932
N00035483,2126179
N00035492,838724
N00035516,285782
N00035544,188762
N00035774,468725
