id,CandidateId,CandidateName,Party,Type,State,SumDonations,Top1PAC,Top1Value,Top2PAC,Top2Value,Top3PAC,Top3Value,Rank_total
0,N00030612,Marco Rubio,R,sen,FL,56501248,Conservative Solutions PAC,33465840,National Republican Senatorial Cmte,3046799,Stand for Truth,2980051,1
1,N00001489,Pat Toomey,R,sen,PA,52628752,Majority PAC,15389673,Independence USA PAC,5925590,Democratic Senatorial Campaign Cmte,5573540,2
2,N00033085,Ted Cruz,R,sen,TX,27998614,Conservative Solutions PAC,4819384,Make America Number 1,4561833,Stand for Truth,4371362,3
3,N00002221,Richard Burr,R,sen,NC,23317843,Democratic Senatorial Campaign Cmte,6240616,Majority PAC,4503219,Women Vote!,3076352,4
4,N00003682,Rob Portman,R,sen,OH,17232007,Majority PAC,7814305,American Fedn of St/Cnty/Munic Employees,2897070,National Republican Senatorial Cmte,1200264,5
5,N00005195,Roy Blunt,R,sen,MO,13919184,Democratic Senatorial Campaign Cmte,3069331,American Fedn of St/Cnty/Munic Employees,1735761,New American Jobs Fund,1397098,6
6,N00032546,Ron Johnson,R,sen,WI,10590115,Majority PAC,4654055,National Republican Senatorial Cmte,1500000,League of Conservation Voters,1056054,7
7,N00000528,Bernie Sanders,I,sen,VT,5312452,National Nurses United,3837125,Ending Spending Action Fund,804319,Communications Workers of America,298510,8
8,N00006424,John McCain,R,sen,AZ,3393622,Arizona Grassroots Action,1313828,National Republican Senatorial Cmte,1004000,National Assn for Gun Rights,64853,9
9,N00002593,Johnny Isakson,R,sen,GA,3381804,National Assn of Realtors,1853997,Republican Party of Georgia,346407,American Assn of Orthodontists,17500,10
10,N00030608,Michael F Bennet,D,sen,CO,3337962,Americas PAC,518064,Fair Share Action,516139,Immigrant Voters Win,500217,11
11,N00003389,Mitch McConnell,R,sen,KY,3033727,National Assn of Realtors,1886900,Majority PAC,344086,Senate Conservatives Action,332228,12
12,N00030836,Rand Paul,R,sen,KY,3032975,Concerned American Voters,740539,National Republican Senatorial Cmte,7.00E+05,Purple PAC,671224,13
13,N00035483,Joni Ernst,R,sen,IA,2126179,Sierra Club Independent Action,1.00E+06,NextGen Climate Action,542088,Guardian Leadership PAC,204760,14
